Full_Name,x0,y0,z0,xDot0,yDot0,zDot0,T,Stability_Index,Bifercates_to,lStar_km,tStar_days,mu,System,LagrangePoint,Family,Modifier,JacobiValue,Closest_Primary_Approach,Closest_Secondary_Approach
L3 - Lyapunov,-1.542,0,0,0,0.999431807832704,0,6.23,1.511,N/A,385692.5,4.3644,0.0121505856,Earth - Moon,L3,Lyapunov,,2.67993936870853,0.477826118428496,0.477826118428496
L3 - Lyapunov,-1.5744,0,0,0,1.05757412734812,0,6.2316,1.4885,N/A,385692.5,4.3644,0.0121505856,Earth - Moon,L3,Lyapunov,,2.63440670492643,0.445151560861121,0.445151560861121
L3 - Lyapunov,-1.6068,0,0,0,1.1159,0,6.2334,1.464,N/A,385692.5,4.3644,0.0121505856,Earth - Moon,L3,Lyapunov,,2.58489428567576,0.412447564250396,0.412447564250396
L3 - Lyapunov,-1.6392,0,0,0,1.1745,0,6.2353,1.4372,N/A,385692.5,4.3644,0.0121505856,Earth - Moon,L3,Lyapunov,,2.53105999345731,0.379732732468787,0.379732732468787
L3 - Lyapunov,-1.6716,0,0,0,1.23345038967792,0,6.2374,1.4078,N/A,385692.5,4.3644,0.0121505856,Earth - Moon,L3,Lyapunov,,2.47255927116831,0.347080162669639,0.347080162669639
L3 - Lyapunov,-1.6967,0,0,0,1.27945916982208,0,6.2391,1.3828,L3-Halos,385692.5,4.3644,0.0121505856,Earth - Moon,L3,Lyapunov,,2.42366254519976,0.321801003121833,0.321801003121833
L3 - Lyapunov,-1.7364,0,0,0,1.3531,0,6.2423,1.339,N/A,385692.5,4.3644,0.0121505856,Earth - Moon,L3,Lyapunov,,2.33895689889448,0.281764073553376,0.281764073553376
L3 - Lyapunov,-1.7688,0,0,0,1.4142,0,6.2451,1.2981,N/A,385692.5,4.3644,0.0121505856,Earth - Moon,L3,Lyapunov,,2.26220455996897,0.249109214792576,0.249109214792576
L3 - Lyapunov,-1.8012,0,0,0,1.4765,0,6.2484,1.2511,N/A,385692.5,4.3644,0.0121505856,Earth - Moon,L3,Lyapunov,,2.17731107588898,0.216506944549751,0.216506944549751
L3 - Lyapunov,-1.8336,0,0,0,1.5405,0,6.2522,1.1959,N/A,385692.5,4.3644,0.0121505856,Earth - Moon,L3,Lyapunov,,2.08224670364583,0.183877565086037,0.183877565086037
L3 - Lyapunov,-1.8663,0,0,0,1.6072,0,6.2566,1.1283,N/A,385692.5,4.3644,0.0121505856,Earth - Moon,L3,Lyapunov,,1.97405353074265,0.15125681286431,0.15125681286431
L3 - Lyapunov,-1.8963,0,0,0,1.6715,0,6.2616,1.0499,L3-Axials,385692.5,4.3644,0.0121505856,Earth - Moon,L3,Lyapunov,,1.85905646104631,0.121281340128882,0.121281340128882
L3 - Lyapunov,-1.9118,0,0,0,1.70633,0,6.2647,1,L4/L5-Planar,385692.5,4.3644,0.0121505856,Earth - Moon,L3,Lyapunov,,1.79183129295665,0.1058407300398,0.1058407300398
L1 - Northern Halo,0.8234,0,0,0,0.126231720161076,0,2.743,1180.5771,L1-Lyapunovs,385692.5,4.3644,0.0121505856,Earth - Moon,L1,Halo,North,3.17437327645455,0.8112494144,0.8112494144
L1 - Northern Halo,0.8234,0,0.0224,0,0.134119477663738,0,2.7464,1096.9329,N/A,385692.5,4.3644,0.0121505856,Earth - Moon,L1,Halo,North,3.17011835726597,0.811558606857412,0.811558606857412
